部位,系統(目安),種目(元),出現,自動代表名,自動寄せ,確定代表名(ここを編集)
"背中","ローイング系","ケーブルローイング","81","ケーブルローイング","","ケーブルローイング"
"背中","ローイング系","ベンチローイング","12","ベンチローイング","","ベンチローイング"
"背中","ローイング系","インクラインリアデルトダンベルロウ","12","インクラインリアデルトダンベルロウ","","インクラインリアデルトダンベルロウ"
"背中","ローイング系","インクラインダンベルロウ","11","インクラインダンベルロウ","","インクラインダンベルロウ"
"背中","ローイング系","ワンハンドダンベルローイング","6","ワンハンドダンベルローイング","","ワンハンドダンベルローイング"
"背中","ローイング系","チューブローイング","6","チューブローイング","","チューブローイング"
"背中","ローイング系","ローイング","4","ローイング","寄せ済","ローイング"
"背中","ローイング系","メディシンボールローイング","3","メディシンボールローイング","","メディシンボールローイング"
"背中","ローイング系","ローイング(マシーンでもOK)","3","ローイング","寄せ済","ローイング"
"背中","ローイング系","ダンベルワンハンドローイング","2","ダンベルワンハンドローイング","","ダンベルワンハンドローイング"
"背中","ローイング系","ローイング系","1","ローイング","寄せ済","ローイング"
"背中","ローイング系","ローイングマシーン","1","ローイングマシーン","","ローイングマシーン"
"背中","ローイング系","ダンベルロウ","1","ダンベルロウ","","ダンベルロウ"
"背中","三頭系","バックエクステンション","1","バックエクステンション","","バックエクステンション"
"背中","三頭系","ライイングエクステンション","1","ライイングエクステンション","","ライイングエクステンション"
"背中","懸垂系","懸垂","110","懸垂","","懸垂"
"背中","懸垂系","懸垂ぶら下がり、肩甲骨下制","12","懸垂ぶら下がり、肩甲骨下制","","懸垂ぶら下がり、肩甲骨下制"
"背中","懸垂系","助走あり懸垂","11","助走あり懸垂","","助走あり懸垂"
"背中","懸垂系","公園で斜め懸垂","11","公園で斜め懸垂","","公園で斜め懸垂"
"背中","懸垂系","助走つけて下す懸垂","9","助走つけて下す懸垂","","助走つけて下す懸垂"
"背中","懸垂系","ジャンプして降ろす懸垂","9","ジャンプして降ろす懸垂","","ジャンプして降ろす懸垂"
"背中","懸垂系","公園ではしご懸垂","9","公園ではしご懸垂","","公園ではしご懸垂"
"背中","懸垂系","助走をつけてゆっくり降ろす懸垂","7","助走をつけてゆっくり降ろす懸垂","","助走をつけてゆっくり降ろす懸垂"
"背中","懸垂系","斜め懸垂","2","斜め懸垂","","斜め懸垂"
"背中","背中自重系","リバーススノーエンジェル","86","リバーススノーエンジェル","","リバーススノーエンジェル"
"背中","腕立て系","エルボープッシュアップ","14","エルボープッシュアップ","","エルボープッシュアップ"
"背中","腕立て系","エルボプッシュアップ","9","エルボプッシュアップ","","エルボプッシュアップ"
"背中","腕立て系","リバースエルボープッシュアップ","3","リバースエルボープッシュアップ","","リバースエルボープッシュアップ"
"背中","腕立て系","斜め腕立て伏せ","3","斜め腕立て伏せ","","斜め腕立て伏せ"
"背中","腕立て系","壁付エルボープッシュアップ","2","壁付エルボープッシュアップ","","壁付エルボープッシュアップ"
"胸","カール系","ダンベルリストカール","20","ダンベルリストカール","","ダンベルリストカール"
"胸","ディップス系","ディップス","42","ディップス","寄せ済","ディップス"
"胸","ディップス系","ディップス(デクラインでもＯＫ)","4","ディップス","寄せ済","ディップス"
"胸","ディップス系","椅子に足おいてディップス","4","椅子に足おいてディップス","","椅子に足おいてディップス"
"胸","ディップス系","ダンベル置いて腕立伏せorディップス","2","ダンベル置いて腕立伏せorディップス","","ダンベル置いて腕立伏せorディップス"
"胸","フライ系","ダンベルフライ","115","ダンベルフライ","寄せ済","ダンベルフライ"
"胸","フライ系","インクラインダンベルフライ","78","インクラインダンベルフライ","","インクラインダンベルフライ"
"胸","フライ系","ダンベルフライ(インクライン)","22","ダンベルフライ","寄せ済","ダンベルフライ"
"胸","フライ系","ペックフライ","14","ペックフライ","","ペックフライ"
"胸","フライ系","ダンベルフライ（フラット）","8","ダンベルフライ","寄せ済","ダンベルフライ"
"胸","フライ系","ダンベルフライ痛みあればなしでOK","5","ダンベルフライ痛みあればなしでOK","","ダンベルフライ痛みあればなしでOK"
"胸","フライ系","ケーブルクロス","3","ケーブルクロス","","ケーブルクロス"
"胸","フライ系","ディップス(ダンベルフライ)","1","ディップス","寄せ済","ディップス"
"胸","胸プレス系","ベンチプレス","112","ベンチプレス","寄せ済","ベンチプレス"
"胸","胸プレス系","チェストプレス","87","チェストプレス","","チェストプレス"
"胸","胸プレス系","インクラインダンベルプレス","55","インクラインダンベルプレス","","インクラインダンベルプレス"
"胸","胸プレス系","ダンベルプレス","34","ダンベルプレス","","ダンベルプレス"
"胸","胸プレス系","ダンベルベンチプレス（インクライン）","14","ダンベルベンチプレス（インクライン）","寄せ済","ダンベルベンチプレス（インクライン）"
