品名,食品番号,成分表名,1単位g,kcal,P,F,C,100gあたりkcal,備考
鶏ひき肉 100g,11230,＜鳥肉類＞　にわとり　［二次品目］　ひき肉　生,100.0,171,17.5,12.0,0.0,171.0,
豚ひき肉 100g,11163,＜畜肉類＞　ぶた　［ひき肉］　生,100.0,209,17.7,17.2,0.1,209.0,
牛ひき肉 100g,11089,＜畜肉類＞　うし　［ひき肉］　生,100.0,251,17.1,21.1,0.3,251.0,
合いびき肉 100g,(手動),牛ひき+豚ひきの平均,100.0,230,17.4,19.2,0.2,230,牛ひき+豚ひきの平均
豚バラ 100g,11129,＜畜肉類＞　ぶた　［大型種肉］　ばら　脂身つき　生,100.0,366,14.4,35.4,0.1,366.0,
豚ロース 100g,11123,＜畜肉類＞　ぶた　［大型種肉］　ロース　脂身つき　生,100.0,248,19.3,19.2,0.2,248.0,
牛肩ロース 100g,11034,＜畜肉類＞　うし　［乳用肥育牛肉］　かたロース　脂身つき　生,100.0,295,16.2,26.4,0.2,295.0,
きゅうり 1本,06065,きゅうり　果実　生,100.0,13,1.0,0.1,3.0,13.0,
レタス 100g,06312,（レタス類）　レタス　土耕栽培　結球葉　生,100.0,11,0.6,0.1,2.8,11.0,
大根 100g,06134,（だいこん類）　だいこん　根　皮なし　生,100.0,15,0.4,0.1,4.1,15.0,
白菜 100g,06233,はくさい　結球葉　生,100.0,13,0.8,0.1,3.2,13.0,
もやし 1袋,06291,（もやし類）　りょくとうもやし　生,200.0,30,3.6,0.2,4.8,15.0,緑豆もやし
長ねぎ 1本,06226,（ねぎ類）　根深ねぎ　葉　軟白　生,60.0,21,0.8,0.1,5.0,35.0,
かぼちゃ 100g,06048,（かぼちゃ類）　西洋かぼちゃ　果実　生,100.0,78,1.9,0.3,20.6,78.0,
れんこん 100g,06317,れんこん　根茎　生,100.0,66,1.9,0.1,15.5,66.0,
長芋 100g,02023,＜いも類＞　（やまのいも類）　ながいも　ながいも　塊根　生,100.0,64,2.2,0.3,13.9,64.0,
おからパウダー 大さじ2,04089,だいず　［その他］　おから　乾燥,12.0,40,2.8,1.6,6.3,333.0,
全粒粉パスタ(ゆで) 1人前,01064,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ゆで,220.0,330,12.8,2.0,70.8,150.0,通常パスタゆで(全粒粉は繊維増・PFC近似)
冷凍フルーツミックス 1人前,07124,ブルーベリー　生,100.0,48,0.5,0.1,12.9,48.0,ブルーベリー等の代表値
甘栗 1袋,05013,（くり類）　中国ぐり　甘ぐり,80.0,166,3.9,0.7,38.8,207.0,
炭酸水(無糖) 1本,(手動),0kcal,500.0,0,0.0,0.0,0.0,0,0kcal
トマトジュース(無塩) 1本,06186,（トマト類）　加工品　ミックスジュース　食塩添加,200.0,36,1.2,0.0,8.6,18.0,
もち麦100%飯 茶碗1杯,01170,おおむぎ　押麦　めし,150.0,177,3.3,0.8,42.8,118.0,
MCTオイル 小さじ1,(手動),中鎖脂肪酸油100%,4.0,36,0.0,4.0,0.0,900,中鎖脂肪酸油100%
ヨーグルト(プレーン無糖) 100g,13025,＜牛乳及び乳製品＞　（発酵乳・乳酸菌飲料）　ヨーグルト　全脂無糖,100.0,56,3.6,3.0,4.9,56.0,
ヨーグルト(低脂肪無糖) 100g,13053,＜牛乳及び乳製品＞　（発酵乳・乳酸菌飲料）　ヨーグルト　低脂肪無糖,100.0,40,3.7,1.0,5.2,40.0,
豆乳ヨーグルト 100g,04052,だいず　［その他］　豆乳　豆乳,100.0,43,3.6,2.8,2.3,43.0,豆乳ベース(市販品確認推奨)
鶏むね(皮つき) 100g,11219,＜鳥肉類＞　にわとり　［若どり・主品目］　むね　皮つき　生,100.0,133,21.3,5.9,0.1,133.0,
鶏むねひき肉 100g,11230,＜鳥肉類＞　にわとり　［二次品目］　ひき肉　生,100.0,171,17.5,12.0,0.0,171.0,鶏ひき肉の値で代用
ごはん どんぶり1杯,01088,こめ　［水稲めし］　精白米　うるち米,300.0,468,7.5,0.9,111.3,156.0,
サバ味噌煮缶 1缶,10165,＜魚類＞　（さば類）　缶詰　みそ煮,190.0,399,31.0,26.4,12.5,210.0,
充填豆腐(3連) 1個,04035,だいず　［豆腐・油揚げ類］　充てん豆腐,150.0,84,7.5,4.7,3.8,56.0,
くるみ 1つかみ,05014,くるみ　いり,15.0,107,2.2,10.3,1.8,713.0,
カシューナッツ 1つかみ,05005,カシューナッツ　フライ　味付け,15.0,89,3.0,7.1,4.0,591.0,
十割そば(ゆで) 1人前,01128,そば　そば　ゆで,300.0,390,14.4,3.0,78.0,130.0,そばゆでの値(十割の区別なし)
ゆであずき(あんこ) 大さじ1,04002,あずき　全粒　ゆで,20.0,25,1.7,0.2,5.1,124.0,
キヌア(炊) 100g,(手動),玄穀01167を炊飯換算(×0.385),100.0,140,4.7,1.2,24.7,140,玄穀01167を炊飯換算(×0.385)
紫芋(冷) 100g,02049,＜いも類＞　（さつまいも類）　むらさきいも　塊根　皮なし　蒸し,100.0,122,1.2,0.3,31.4,122.0,さつまいも蒸しで代用(アントシアニン差はPFC無関係)
マカダミアナッツ 1つかみ,05031,マカダミアナッツ　いり　味付け,15.0,113,1.2,11.5,1.8,751.0,
えごま油 小さじ1,14024,（植物油脂類）　えごま油,4.0,36,0.0,4.0,0.0,897.0,
アマニ油 小さじ1,14023,（植物油脂類）　あまに油,4.0,36,0.0,4.0,0.0,897.0,
テンペ 100g,04063,だいず　［その他］　テンペ,100.0,180,15.8,9.0,15.4,180.0,
ラム肉 100g,11203,＜畜肉類＞　めんよう　［ラム］　もも　脂身つき　生,100.0,164,20.0,12.0,0.3,164.0,
蒸しじゃがいも(冷) 1個,02018,＜いも類＞　じゃがいも　塊茎　皮なし　蒸し,120.0,91,2.3,0.4,21.7,76.0,
冷やし焼き芋 1本,02008,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮なし　焼き,200.0,302,2.8,0.4,78.0,151.0,焼き芋と同値(冷やしはRS増・PFC同)
オクラ 5本,06032,オクラ　果実　生,40.0,10,0.8,0.1,2.6,26.0,
パプリカ 1/2個,06247,（ピーマン類）　赤ピーマン　果実　生,70.0,20,0.7,0.1,5.0,28.0,
ズッキーニ 1/2本,06116,ズッキーニ　果実　生,80.0,13,1.0,0.1,2.2,16.0,
アスパラガス 3本,06007,アスパラガス　若茎　生,60.0,13,1.6,0.1,2.3,21.0,
カリフラワー 100g,06054,カリフラワー　花序　生,100.0,28,3.0,0.1,5.2,28.0,
水菜 100g,06072,みずな　葉　生,100.0,23,2.2,0.1,4.8,23.0,
チンゲン菜 1株,06160,チンゲンサイ　葉　生,100.0,9,0.6,0.1,2.0,9.0,
ニラ 1/2束,06207,（にら類）　にら　葉　生,50.0,9,0.8,0.1,2.0,18.0,
ゴーヤ 1/2本,06205,にがうり　果実　生,100.0,15,1.0,0.1,3.9,15.0,
とうもろこし 1本,06176,（とうもろこし類）　スイートコーン　未熟種子　ゆで,175.0,166,6.1,3.0,32.6,95.0,
さやいんげん 10本,06010,いんげんまめ　さやいんげん　若ざや　生,50.0,12,0.9,0.1,2.5,23.0,
ミニトマト 5個,06183,（トマト類）　赤色ミニトマト　果実　生,75.0,22,0.8,0.1,5.4,30.0,
セロリ 1本,06119,セロリ　葉柄　生,65.0,8,0.3,0.1,2.3,12.0,
かぶ 1個,06036,かぶ　根　皮つき　生,80.0,14,0.6,0.1,3.7,18.0,
春菊 100g,06099,しゅんぎく　葉　生,100.0,20,2.3,0.3,3.9,20.0,
しいたけ(生) 3枚,08039,しいたけ　生しいたけ　菌床栽培　生,45.0,11,1.4,0.1,2.9,25.0,
エリンギ 1本,08025,（ひらたけ類）　エリンギ　生,50.0,16,1.4,0.2,3.0,31.0,
なめこ 1袋,08020,なめこ　株採り　生,100.0,21,1.8,0.2,5.4,21.0,
手羽元 1本,11286,＜鳥肉類＞　にわとり　［若どり・主品目］　手羽もと　皮つき　生,60.0,105,10.9,7.7,0.0,175.0,
手羽先 1本,11285,＜鳥肉類＞　にわとり　［若どり・主品目］　手羽さき　皮つき　生,50.0,104,8.7,8.1,0.0,207.0,
豚こま切れ 100g,11130,＜畜肉類＞　ぶた　［大型種肉］　もも　脂身つき　生,100.0,171,20.5,10.2,0.2,171.0,豚もも脂身つきで代用
牛切り落とし 100g,11030,＜畜肉類＞　うし　［乳用肥育牛肉］　かた　脂身つき　生,100.0,231,17.1,19.8,0.3,231.0,牛かた脂身つきで代用
春雨(乾) 30g,02040,＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　普通はるさめ　乾,30.0,104,0.0,0.1,26.0,346.0,
枝豆 1人前,(のり監修57参照),枝豆(ゆで) のり監修値より換算,60.0,71,6.9,3.7,5.3,118,可食部60g(さや除く)
ビーフカレー 1人前,18001,洋風料理 カレー類 ビーフカレー,450.0,536,10.8,40.5,36.4,119.0,段階2-2で実在発見(積算→転記)
目玉焼き 1個,12021,鶏卵 全卵 目玉焼き,55.0,113,8.1,9.7,0.2,205.0,段階2-2で実在発見(積算→転記)
エビグラタン 1人前,18003,洋風料理 その他 えびグラタン,300.0,384,16.5,20.7,36.3,128.0,段階2-2で実在発見(積算→転記)
フランクフルト 1本,11189,＜畜肉類＞ ぶた ［ソーセージ類］ フランクフルトソーセージ,90.0,266,11.4,22.2,5.6,295.0,段階2-2で実在発見(積算→転記)
塩むすび 1個,01111,こめ ［うるち米製品］ おにぎり,100.0,170,2.7,0.3,39.4,170.0,段階2-2で実在発見(積算→転記)
